operation,latency_ms,timestamp
read,55.030,2026-01-28T23:35:03.508177+05:30
read,36.727,2026-01-28T23:35:03.508177+05:30
read,53.617,2026-01-28T23:35:03.508177+05:30
read,17.888,2026-01-28T23:35:03.508178+05:30
read,3.210,2026-01-28T23:35:03.508178+05:30
read,17.930,2026-01-28T23:35:03.508178+05:30
read,2.077,2026-01-28T23:35:03.508178+05:30
read,4.956,2026-01-28T23:35:03.508179+05:30
read,2.974,2026-01-28T23:35:03.508179+05:30
read,27.849,2026-01-28T23:35:03.508179+05:30
read,29.257,2026-01-28T23:35:03.508179+05:30
read,46.005,2026-01-28T23:35:03.50818+05:30
read,43.086,2026-01-28T23:35:03.50818+05:30
read,41.706,2026-01-28T23:35:03.50818+05:30
read,57.964,2026-01-28T23:35:03.50818+05:30
read,49.344,2026-01-28T23:35:03.508181+05:30
read,33.617,2026-01-28T23:35:03.508181+05:30
read,65.933,2026-01-28T23:35:03.508181+05:30
read,62.829,2026-01-28T23:35:03.508181+05:30
read,46.755,2026-01-28T23:35:03.508181+05:30
read,31.204,2026-01-28T23:35:03.508182+05:30
read,0.322,2026-01-28T23:35:03.508182+05:30
read,8.159,2026-01-28T23:35:03.508182+05:30
read,7.976,2026-01-28T23:35:03.508184+05:30
read,7.991,2026-01-28T23:35:03.508184+05:30
read,0.223,2026-01-28T23:35:03.508184+05:30
read,0.387,2026-01-28T23:35:03.508185+05:30
read,15.890,2026-01-28T23:35:03.508185+05:30
read,15.950,2026-01-28T23:35:03.508185+05:30
read,16.002,2026-01-28T23:35:03.508185+05:30
read,7.988,2026-01-28T23:35:03.508186+05:30
read,23.795,2026-01-28T23:35:03.508186+05:30
read,23.906,2026-01-28T23:35:03.508186+05:30
read,31.153,2026-01-28T23:35:03.508186+05:30
read,31.292,2026-01-28T23:35:03.508186+05:30
read,31.113,2026-01-28T23:35:03.508187+05:30
read,47.272,2026-01-28T23:35:03.508187+05:30
read,31.057,2026-01-28T23:35:03.508187+05:30
read,31.822,2026-01-28T23:35:03.508187+05:30
read,31.048,2026-01-28T23:35:03.508188+05:30
read,48.638,2026-01-28T23:35:03.508188+05:30
read,48.655,2026-01-28T23:35:03.508188+05:30
read,33.673,2026-01-28T23:35:03.508188+05:30
read,33.907,2026-01-28T23:35:03.508189+05:30
read,31.122,2026-01-28T23:35:03.508189+05:30
read,31.156,2026-01-28T23:35:03.508189+05:30
read,15.242,2026-01-28T23:35:03.508189+05:30
read,15.258,2026-01-28T23:35:03.508189+05:30
read,16.003,2026-01-28T23:35:03.50819+05:30
read,16.014,2026-01-28T23:35:03.50819+05:30
read,16.004,2026-01-28T23:35:03.50819+05:30
read,30.974,2026-01-28T23:35:03.50819+05:30
read,23.976,2026-01-28T23:35:03.508191+05:30
read,31.933,2026-01-28T23:35:03.508191+05:30
read,24.012,2026-01-28T23:35:03.508191+05:30
read,39.959,2026-01-28T23:35:03.508191+05:30
read,32.039,2026-01-28T23:35:03.508192+05:30
read,16.038,2026-01-28T23:35:03.508192+05:30
read,0.116,2026-01-28T23:35:03.508192+05:30
read,0.118,2026-01-28T23:35:03.508192+05:30
read,15.909,2026-01-28T23:35:03.508192+05:30
read,15.859,2026-01-28T23:35:03.508193+05:30
read,72.962,2026-01-28T23:35:03.508193+05:30
read,73.037,2026-01-28T23:35:03.508193+05:30
read,47.977,2026-01-28T23:35:03.508193+05:30
read,24.043,2026-01-28T23:35:03.508194+05:30
read,14.850,2026-01-28T23:35:03.508194+05:30
read,32.122,2026-01-28T23:35:03.508194+05:30
read,32.203,2026-01-28T23:35:03.508194+05:30
read,15.329,2026-01-28T23:35:03.508195+05:30
read,31.138,2026-01-28T23:35:03.508195+05:30
read,46.863,2026-01-28T23:35:03.508195+05:30
read,47.001,2026-01-28T23:35:03.508195+05:30
read,16.326,2026-01-28T23:35:03.508195+05:30
read,0.320,2026-01-28T23:35:03.508196+05:30
read,0.200,2026-01-28T23:35:03.508196+05:30
read,47.207,2026-01-28T23:35:03.508196+05:30
read,0.165,2026-01-28T23:35:03.508196+05:30
read,0.146,2026-01-28T23:35:03.508197+05:30
read,0.212,2026-01-28T23:35:03.508197+05:30
read,0.254,2026-01-28T23:35:03.508197+05:30
read,65.375,2026-01-28T23:35:03.508198+05:30
read,45.979,2026-01-28T23:35:03.508198+05:30
read,23.972,2026-01-28T23:35:03.508198+05:30
read,0.259,2026-01-28T23:35:03.508198+05:30
read,7.827,2026-01-28T23:35:03.508198+05:30
read,7.840,2026-01-28T23:35:03.508199+05:30
read,32.020,2026-01-28T23:35:03.508199+05:30
read,15.868,2026-01-28T23:35:03.508199+05:30
read,0.102,2026-01-28T23:35:03.508199+05:30
read,7.897,2026-01-28T23:35:03.5082+05:30
read,8.040,2026-01-28T23:35:03.5082+05:30
read,8.074,2026-01-28T23:35:03.5082+05:30
read,8.159,2026-01-28T23:35:03.508201+05:30
read,0.230,2026-01-28T23:35:03.508201+05:30
read,0.377,2026-01-28T23:35:03.508201+05:30
read,15.848,2026-01-28T23:35:03.508201+05:30
read,15.994,2026-01-28T23:35:03.508202+05:30
read,24.027,2026-01-28T23:35:03.508202+05:30
read,15.869,2026-01-28T23:35:03.508202+05:30
read,31.774,2026-01-28T23:35:03.508202+05:30
read,47.829,2026-01-28T23:35:03.508202+05:30
read,47.767,2026-01-28T23:35:03.508203+05:30
read,47.929,2026-01-28T23:35:03.508203+05:30
read,32.074,2026-01-28T23:35:03.508203+05:30
read,48.097,2026-01-28T23:35:03.508203+05:30
read,66.040,2026-01-28T23:35:03.508204+05:30
read,40.069,2026-01-28T23:35:03.508204+05:30
read,40.090,2026-01-28T23:35:03.508204+05:30
read,16.145,2026-01-28T23:35:03.508204+05:30
read,24.084,2026-01-28T23:35:03.508205+05:30
read,16.125,2026-01-28T23:35:03.508205+05:30
read,0.056,2026-01-28T23:35:03.508205+05:30
read,0.229,2026-01-28T23:35:03.508205+05:30
read,0.105,2026-01-28T23:35:03.508206+05:30
read,7.819,2026-01-28T23:35:03.508208+05:30
read,7.835,2026-01-28T23:35:03.508208+05:30
read,7.991,2026-01-28T23:35:03.508208+05:30
read,15.806,2026-01-28T23:35:03.508209+05:30
read,15.764,2026-01-28T23:35:03.508209+05:30
read,15.819,2026-01-28T23:35:03.508209+05:30
read,23.938,2026-01-28T23:35:03.508209+05:30
read,16.134,2026-01-28T23:35:03.508209+05:30
read,15.947,2026-01-28T23:35:03.50821+05:30
read,31.806,2026-01-28T23:35:03.50821+05:30
read,31.959,2026-01-28T23:35:03.50821+05:30
read,48.010,2026-01-28T23:35:03.50821+05:30
read,16.244,2026-01-28T23:35:03.508211+05:30
read,32.427,2026-01-28T23:35:03.508211+05:30
read,32.984,2026-01-28T23:35:03.508211+05:30
read,17.027,2026-01-28T23:35:03.508211+05:30
read,16.834,2026-01-28T23:35:03.508212+05:30
read,32.946,2026-01-28T23:35:03.508212+05:30
read,57.888,2026-01-28T23:35:03.508212+05:30
read,50.028,2026-01-28T23:35:03.508212+05:30
read,50.055,2026-01-28T23:35:03.508213+05:30
read,32.256,2026-01-28T23:35:03.508213+05:30
read,47.944,2026-01-28T23:35:03.508213+05:30
